,id,localidade,IAP,IDH,PIB,GINI,CLASS,qty_casos_2014,qty_casos_2015,qty_casos_2016,qty_casos_2017,qty_casos_2018,qty_casos_2019,qty_casos_2020,qty_casos_2021,qty_casos_2022,qty_casos_2023
30,150200,Cachoeira do Arari,0.27,0.546,8386.84,0.61,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,150210,Cametá,0.2,0.577,8246.58,0.61,2,0.0,0.0,0.0,0.0,0.0,0.0,118.0,433.0,481.0,748.0
32,150215,Canaã dos Carajás,0.12,0.673,288658.15,0.64,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,150220,Capanema,0.5700000000000001,0.655,16037.06,0.62,0,12.0,34.0,29.0,43.0,17.0,25.0,99.0,193.0,247.0,243.0
34,150230,Capitão Poço,0.15,0.548,12969.72,0.61,2,0.0,0.0,0.0,0.0,0.0,0.0,57.0,155.0,138.0,362.0
35,150240,Castanhal,0.3,0.673,20090.55,0.61,2,45.0,85.0,171.0,189.0,132.0,94.0,299.0,782.0,1054.0,1767.0
36,150250,Chaves,0.12,0.453,8200.87,0.6599999999999999,3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,34.0,42.0,8.0
37,150260,Colares,0.12,0.602,7021.17,0.6699999999999999,3,3.0,2.0,5.0,5.0,2.0,3.0,9.0,20.0,42.0,186.0
38,150270,Conceição do Araguaia,0.27,0.64,11443.12,0.5700000000000001,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,150275,Concórdia do Pará,0.0,0.566,8763.34,0.62,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,150276,Cumaru do Norte,0.37,0.55,21280.31,0.6599999999999999,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,150277,Curionópolis,0.47,0.636,52606.89,0.61,1,0.0,0.0,0.0,0.0,0.0,0.0,49.0,38.0,117.0,28.0
42,150280,Curralinho,0.47,0.502,7353.21,0.61,1,6.0,3.0,10.0,13.0,11.0,14.0,33.0,91.0,70.0,67.0
43,150285,Curuá,0.0,0.578,8996.41,0.6599999999999999,3,0.0,0.0,0.0,0.0,0.0,0.0,34.0,124.0,88.0,56.0
