,id,localidade,IAP,IDH,PIB,GINI,class
97,150600,Prainha,0.32,0.523,9906.66,0.65,2
98,150610,Primavera,0.0,0.577,21893.07,0.64,3
99,150611,Quatipuru,0.0,0.543,7341.53,0.65,3
100,150613,Redenção,0.5700000000000001,0.672,22009.43,0.6,0
101,150616,Rio Maria,0.12,0.638,27207.81,0.65,3
102,150618,Rondon do Pará,0.12,0.602,10184.08,0.5700000000000001,3
103,150619,Rurópolis,0.0,0.548,7430.99,0.64,3
104,150620,Salinópolis,0.12,0.647,13048.64,0.63,3
105,150630,Salvaterra,0.27,0.608,7637.47,0.63,2
106,150635,Santa Bárbara do Pará,0.3,0.627,8580.95,0.6599999999999999,2
107,150640,Santa Cruz do Arari,0.0,0.557,7071.41,0.65,3
108,150650,Santa Izabel do Pará,0.12,0.659,11230.17,0.62,3
109,150655,Santa Luzia do Pará,0.0,0.546,8081.65,0.62,3
110,150658,Santa Maria das Barreiras,0.15,0.544,23258.16,0.64,2
111,150660,Santa Maria do Pará,0.27,0.598,11708.73,0.65,2
112,150670,Santana do Araguaia,0.12,0.602,14211.26,0.62,3
113,150680,Santarém,0.37,0.691,16802.78,0.5700000000000001,1
114,150690,Santarém Novo,0.0,0.587,6971.5,0.6699999999999999,3
115,150700,Santo Antônio do Tauá,0.15,0.632,12227.41,0.64,2
116,150710,São Caetano de Odivelas,0.27,0.585,8105.99,0.62,2
117,150715,São Domingos do Araguaia,0.12,0.594,11134.85,0.6,3
118,150720,São Domingos do Capim,0.12,0.532,10806.82,0.61,3
119,150730,São Félix do Xingu,0.12,0.594,11270.96,0.5800000000000001,3
120,150740,São Francisco do Pará,0.0,0.608,15129.32,0.6599999999999999,3
121,150745,São Geraldo do Araguaia,0.15,0.595,20942.55,0.5900000000000001,2
122,150746,São João da Ponta,0.0,0.583,7562.76,0.65,3
123,150747,São João de Pirabas,0.12,0.539,7324.63,0.64,3
124,150750,São João do Araguaia,0.27,0.55,9534.22,0.6,2
125,150760,São Miguel do Guamá,0.0,0.591,10684.42,0.61,3
126,150770,São Sebastião da Boa Vista,0.15,0.558,7710.73,0.6599999999999999,2
127,150775,Sapucaia,0.12,0.59,17872.07,0.62,3
128,150780,Senador José Porfírio,0.0,0.514,13972.61,0.63,3
129,150790,Soure,0.52,0.615,7771.02,0.62,0
130,150795,Tailândia,0.12,0.588,8924.77,0.62,3
131,150796,Terra Alta,0.27,0.605,6080.78,0.62,2
132,150797,Terra Santa,0.0,0.635,25068.1,0.63,3
133,150800,Tomé-Açu,0.35,0.586,11206.06,0.61,1
134,150803,Tracuateua,0.27,0.531,7475.17,0.65,2
135,150805,Trairão,0.12,0.562,15072.6,0.6599999999999999,3
136,150808,Tucumã,0.35,0.659,20880.37,0.63,1
137,150810,Tucuruí,0.5700000000000001,0.666,46639.59,0.6,0
138,150812,Ulianópolis,0.27,0.604,26850.16,0.62,2
139,150815,Uruará,0.15,0.589,13401.03,0.62,2
140,150820,Vigia,0.32,0.617,7216.02,0.64,2
141,150830,Viseu,0.47,0.515,7952.36,0.63,1
142,150835,Vitória do Xingu,0.0,0.596,270414.24,0.62,3
143,150840,Xinguara,0.15,0.646,28872.41,0.61,2
